앞글자,뒷글자,빈도
몽,방,2
몽,복,2
몽,불,3
몽,블,2
몽,비,5
몽,사,8
몽,산,1
몽,상,8
몽,색,2
몽,석,1
몽,설,4
몽,세,1
몽,소,2
몽,수,1
몽,스,1
몽,식,1
몽,실,8
몽,씬,1
몽,압,1
몽,애,3
몽,양,3
몽,어,6
몽,연,2
몽,염,1
몽,예,2
몽,오,2
몽,올,6
몽,와,1
몽,외,3
몽,용,2
몽,우,3
몽,울,1
몽,윤,2
몽,융,2
몽,은,2
몽,이,3
몽,자,1
몽,점,2
몽,정,2
몽,조,2
몽,종,1
몽,죄,2
몽,중,10
몽,진,2
몽,징,1
몽,짜,3
몽,창,3
몽,천,1
몽,총,2
몽,치,9
몽,침,1
몽,케,1
몽,클,9
몽,키,1
몽,타,4
몽,탁,4
몽,테,4
몽,토,7
몽,톡,6
몽,통,2
몽,퇴,1
몽,투,1
몽,틀,4
몽,티,1
몽,파,1
몽,펠,1
몽,폐,2
몽,포,1
몽,학,4
몽,한,1
몽,혜,2
몽,혼,4
몽,화,2
몽,환,10
몽,룡,2
몽,여,1
몽,하,1
몽,졸,1
몽,인,1
몽,페,1
문,서,86
문,<EOS>,2703
문,전,26
문,적,8
문,헌,29
문,학,337
문,제,122
문,화,252
문,자,198
문,기,18
문,비,14
문,해,6
문,법,70
문,솔,5
문,경,18
문,머,1
문,물,5
문,발,2
문,부,6
문,식,7
문,신,16
문,언,7
문,저,3
문,접,2
문,형,10
문,관,18
문,추,5
문,병,5
문,답,30
문,동,21
문,납,1
문,영,2
문,건,14
문,재,5
문,고,20
문,도,11
문,불,11
문,성,4
문,사,16
문,어,26
문,록,6
문,짝,10
문,각,2
문,일,9
문,장,57
문,직,4
문,노,1
문,감,4
문,진,7
문,명,40
문,령,1
문,체,29
문,예,48
문,천,9
문,주,16
문,지,41
문,작,3
문,권,4
문,활,2
문,나,10
문,구,14
문,쟁,1
문,안,24
문,충,2
문,인,8
문,과,13
문,란,8
문,단,14
문,암,5
문,양,4
문,대,18
문,문,10
문,집,5
문,근,1
문,량,1
문,왕,3
문,갑,7
문,하,42
문,론,1
문,의,12
문,곡,9
문,다,7
문,박,1
문,포,2
문,골,7
문,초,5
문,호,4
문,수,21
문,둥,12
문,트,3
문,담,2
문,질,7
문,치,17
문,드,2
문,히,2
문,세,3
문,뜨,1
문,무,20
문,군,7
문,가,5
문,토,1
문,석,6
문,원,5
문,정,10
문,통,3
문,투,2
문,매,1
문,업,3
문,리,5
문,룡,1
문,칸,3
문,농,3
문,률,3
문,맹,10
문,간,5
문,강,5
문,객,1
문,게,1
문,격,1
문,견,3
문,겸,2
문,곁,1
문,계,2
문,곳,1
문,공,3
문,광,2
문,괘,1
문,괴,1
문,교,5
문,굿,1
문,궐,1
문,귀,2
문,극,1
문,금,2
문,긔,1
문,난,3
문,남,1
문,내,1
문,념,2
문,녘,1
문,닥,2
문,달,4
문,당,4
문,덕,13
문,던,1
문,덩,2
문,데,3
문,뎌,1
문,독,1
문,돈,1
문,두,3
문,둘,1
문,뒤,1
문,득,4
문,듯,1
문,등,2
문,듸,1
문,디,2
문,때,1
문,뜩,3
문,라,3
문,랑,1
문,래,1
문,려,1
문,력,3
문,례,3
문,로,1
문,뢰,1
문,루,1
문,류,2
문,륜,1
문,릉,1
문,림,2
문,망,2
문,맥,7
문,면,1
문,모,2
문,목,3
문,묘,5
문,묵,3
문,미,3
문,민,6
문,밖,2
문,반,1
문,받,1
문,방,10
문,배,4
문,뱃,1
문,벌,7
문,범,1
문,보,2
문,복,5
문,본,1
문,빙,1
문,살,2
문,상,4
문,생,4
문,선,10
문,소,3
문,손,2
문,숙,1
문,승,1
문,실,2
문,심,2
문,썬,1
문,아,3
문,애,1
문,야,1
문,약,3
문,여,2
문,연,2
문,열,2
문,외,6
문,요,1
문,우,2
문,운,1
문,웅,1
문,위,1
문,유,2
문,은,1
문,음,3
문,이,8
문,익,1
문,임,2
문,잡,2
문,절,7
문,젯,1
문,조,3
문,족,1
문,종,2
문,죄,2
문,죽,2
문,중,2
문,쥐,2
문,증,3
문,짬,1
문,쩌,1
문,차,5
문,창,6
문,채,1
문,책,3
문,척,7
문,첩,2
문,청,3
문,총,1
문,축,1
문,출,1
문,칮,7
문,크,1
문,태,1
문,터,2
문,턱,8
문,테,1
문,틀,3
문,파,1
문,판,3
문,패,1
문,편,1
문,표,2
문,품,1
문,풍,2
문,피,1
문,필,11
문,한,5
문,합,4
문,항,2
문,향,3
문,허,2
문,혁,2
문,현,2
문,혜,1
문,환,1
문,회,4
문,후,3
문,흐,1
문,희,1
문,굴,2
문,욱,1
문,셔,2
문,별,3
문,평,1
문,궁,1
문,결,1
문,용,2
문,협,1
문,십,1
문,풀,1
문,염,2
문,홈,1
문,팔,1
문,센,3
문,젼,1
문,옥,1
문,알,1
문,좌,1
문,산,1
문,거,1
문,취,1
문,오,1
문,스,1
문,시,2
문,휴,1
문,렬,1
문,설,1
문,년,2
문,점,3
문,측,1
문,바,1
문,댕,1
문,마,1
문,막,1
문,뎅,1
서,<EOS>,2126
서,명,13
서,다,81
서,슬,8
서,방,51
서,관,22
서,리,120
서,기,58
서,어,10
서,실,10
서,대,19
서,덜,10
서,니,13
서,문,8
서,적,20
서,우,18
서,세,3
서,왕,5
서,도,20
서,비,39
서,지,22
서,법,4
서,서,10
서,돌,4
서,동,11
서,낭,16
서,가,7
서,간,20
서,용,8
서,부,23
서,류,24
서,봉,5
서,화,17
서,집,1
서,까,26
서,경,11
서,린,5
서,한,18
서,렬,5
서,인,13
서,식,8
서,원,50
서,스,32
서,커,6
서,승,3
서,당,16
서,목,4
서,체,4
서,례,4
서,반,6
서,사,42
서,미,9
서,는,2
서,성,17
서,예,6
서,일,5
서,현,1
서,닛,1
서,울,37
서,시,8
서,귀,4
서,의,10
서,댓,2
서,록,4
서,아,6
서,버,7
서,불,4
서,마,5
서,클,12
서,렁,1
서,랍,8
서,제,6
서,발,6
서,천,9
서,역,13
서,술,23
서,곡,4
서,양,61
서,특,3
서,과,4
서,보,6
서,감,3
서,자,15
서,행,3
서,덕,1
서,교,3
서,맥,3
서,무,6
서,전,9
서,쪽,3
서,연,6
서,습,5
서,격,2
서,저,2
서,탑,1
서,걸,2
서,말,2
서,답,13
서,주,13
서,남,15
서,바,1
서,분,18
서,상,12
서,홀,1
서,수,6
서,벌,5
서,락,1
서,붕,2
서,랑,5
서,너,4
서,넛,2
서,없,1
서,하,15
서,트,8
서,장,7
서,되,1
서,규,2
서,웁,2
서,치,7
서,해,12
서,플,1
서,베,6
서,약,6
서,병,4
서,환,1
서,림,5
서,신,7
서,움,1
서,워,1
서,옥,3
서,놀,1
서,질,2
서,만,1
서,름,10
서,설,5
서,향,8
서,생,5
서,운,10
서,묘,2
서,석,49
서,열,11
서,흘,2
서,머,16
서,짐,4
서,품,6
서,초,4
서,안,10
서,럽,3
서,나,9
서,틴,1
서,오,2
서,율,1
서,공,4
서,취,3
서,루,4
서,로,17
서,학,3
서,각,4
서,강,3
서,거,8
서,걱,7
서,검,1
서,겁,1
서,겊,1
서,게,2
서,계,4
서,고,9
서,곤,2
서,골,1
서,곽,1
서,광,2
서,구,18
서,국,2
서,궁,1
서,권,1
서,궐,2
서,궤,1
서,그,4
서,근,9
서,글,8
서,긇,1
서,금,3
서,급,1
서,깔,1
서,깥,1
서,꺼,1
서,껀,1
서,끌,1
서,끼,1
서,낙,4
서,날,2
서,내,2
서,녀,1
서,녕,1
서,노,2
서,느,5
서,늘,8
서,단,2
서,담,1
서,던,1
서,데,1
서,독,5
서,두,7
서,둔,1
서,둘,2
서,드,4
서,든,1
서,들,1
서,등,1
서,떰,1
서,라,4
서,란,2
서,래,4
서,랭,2
서,량,3
서,러,5
서,려,1
서,력,4
서,령,3
서,론,2
서,료,1
서,르,5
서,른,2
서,릉,2
서,릊,2
서,립,2
서,릿,5
서,막,2
서,맹,2
서,먹,8
서,멀,3
서,멧,3
서,면,13
서,모,6
서,몽,1
서,물,15
서,민,9
서,배,3
서,백,2
서,벅,9
서,번,1
서,범,1
서,벵,1
서,벽,1
서,변,1
서,복,1
서,북,12
서,붓,8
서,브,21
서,블,2
서,빙,1
서,빡,1
서,뻑,6
서,뿌,1
서,뿐,9
서,뿔,1
서,뿟,8
서,산,18
서,살,1
서,색,1
서,선,1
서,소,1
서,속,2
서,손,1
서,숙,5
서,순,1
서,슴,10
서,쑥,1
서,씨,2
서,악,2
서,압,2
서,애,2
서,야,3
서,억,5
서,언,3
서,얼,5
서,업,3
서,에,1
서,여,1
서,염,1
서,영,2
서,온,1
서,옹,1
서,완,2
서,외,1
서,요,1
서,웃,1
서,월,1
서,위,3
서,유,7
서,윤,5
서,융,1
서,으,1
서,은,2
서,음,1
서,응,2
서,이,6
서,임,6
서,입,4
서,잉,1
서,작,2
서,재,8
서,절,2
서,점,4
서,정,18
서,조,5
서,족,2
서,종,1
서,죄,2
서,죽,1
서,중,1
서,증,2
서,직,1
서,진,2
서,징,1
서,차,3
서,찰,1
서,창,2
서,책,1
서,척,2
서,철,1
서,첨,1
서,첩,1
서,청,3
서,촌,1
서,총,5
서,최,1
서,추,1
서,축,2
서,출,2
서,측,1
서,카,1
서,칼,1
서,캐,3
서,큘,5
서,킷,3
서,태,1
서,턴,1
서,털,6
서,토,1
서,통,2
서,퇴,3
서,투,2
서,툴,2
서,티,3
서,파,3
서,판,3
서,퍽,2
서,편,3
서,평,2
서,폐,1
서,포,5
서,폭,1
서,표,1
서,푼,12
서,풀,1
서,풋,8
서,풍,7
서,프,4
서,피,6
서,핑,2
서,함,3
서,합,2
서,항,1
서,헌,1
서,혈,1
서,형,4
서,혜,9
서,호,8
서,황,2
서,회,3
서,훈,2
서,휘,1
서,흐,2
서,흥,2
서,힌,1
서,짜,1
서,겻,1
서,레,1
서,필,1
서,터,1
서,션,1
서,훼,1
서,군,2
서,벼,1
서,탕,1
서,롤,1
서,디,1
서,찬,2
서,률,1
막,이,225
막,<EOS>,1203
막,장,24
막,가,6
막,기,22
막,다,15
막,밑,5
막,신,5
막,앉,1
막,압,2
막,전,2
막,헤,1
막,부,11
막,사,14
막,살,11
막,소,3
막,탈,1
막,극,1
막,간,17
막,하,25
막,거,4
막,대,77
막,종,1
막,지,18
막,야,3
막,염,71
막,심,16
막,추,3
막,식,6
막,조,4
막,정,1
막,외,2
막,골,3
막,바,4
막,집,8
막,치,5
막,증,7
막,판,4
막,취,1
막,새,5
막,히,6
막,긴,2
막,까,6
막,나,1
막,눈,1
막,더,1
막,발,1
막,잡,1
막,질,3
막,음,12
막,락,2
막,충,2
막,달,3
막,졸,3
막,리,3
막,창,4
막,급,10
막,딸,1
막,병,1
막,강,7
막,찌,1
막,감,2
막,객,1
막,걸,8
막,견,1
막,고,1
막,공,1
막,깎,3
막,끝,1
막,난,2
막,날,1
막,낭,1
막,내,11
막,냇,6
막,노,4
막,농,3
막,능,2
막,닥,1
막,댓,1
막,돌,4
막,동,5
막,돼,1
막,된,1
막,두,1
막,뒤,1
막,디,1
막,딜,1
막,떨,1
막,려,1
막,로,4
막,론,2
막,료,1
막,막,12
막,말,1
막,머,1
막,명,1
막,모,1
막,목,1
막,무,2
막,물,1
막,밀,1
막,배,2
막,벌,4
막,베,2
막,벽,1
막,보,2
막,북,1
막,불,2
막,비,5
막,빈,1
막,상,3
막,설,2
막,성,3
막,세,2
막,손,2
막,쇠,1
막,스,3
막,시,4
막,아,3
막,엄,4
막,여,2
막,역,7
막,연,5
막,영,1
막,옥,1
막,왕,2
막,래,2
막,우,1
막,희,1
막,원,2
막,윷,1
막,은,2
막,일,2
막,입,2
막,잎,1
막,자,2
막,제,2
막,죽,1
막,중,8
막,직,2
막,차,1
막,채,1
막,책,2
막,처,1
막,천,1
막,투,1
막,파,1
막,포,1
막,한,1
막,호,2
막,후,3
막,흐,1
막,힌,7
막,힘,14
막,육,1
막,잇,4
막,구,2
막,붙,1
막,수,3
막,온,1
막,통,1
막,림,1
막,혈,1
막,청,1
막,측,2
막,똥,2
막,꿩,1
막,개,2
막,길,1
막,털,2
막,법,1
막,열,1
막,잘,4
막,경,1
막,군,1
막,산,1
막,작,1
막,의,1
막,층,1
막,약,1
막,알,1
막,번,1
막,변,1
막,짤,3
막,쫄,3
막,페,1
막,적,1
막,친,2
막,숭,1
막,쉬,1
막,젱,1
막,관,1
막,등,1
막,인,1
막,악,1
막,행,1
막,엽,1
백,작,4
백,혈,27
백,충,10
백,산,10
백,희,3
백,<EOS>,725
백,당,7
백,숙,23
백,질,56
백,반,23
백,색,51
백,년,32
백,먹,5
백,장,11
백,정,17
백,미,20
백,로,15
백,마,13
백,신,23
백,서,14
백,운,28
백,료,4
백,분,21
백,배,19
백,선,13
백,의,21
백,합,16
백,번,2
백,구,9
백,토,8
백,석,10
백,화,29
백,수,25
백,만,10
백,나,8
백,뇨,2
백,출,12
백,금,37
백,다,3
백,난,3
백,이,23
백,호,13
백,사,31
백,린,4
백,광,4
백,오,8
백,젖,1
백,철,6
백,풀,2
백,효,1
백,비,5
백,고,6
백,조,18
백,종,5
백,십,3
백,하,10
백,닭,1
백,설,13
백,면,8
백,과,20
백,소,2
백,판,3
백,스,6
백,히,1
백,세,14
백,성,12
백,관,4
백,초,8
백,두,27
백,백,11
백,일,33
백,유,3
백,피,7
백,상,7
백,중,21
백,제,24
백,지,39
백,가,9
백,각,1
백,간,3
백,감,1
백,갑,1
백,강,8
백,개,3
백,거,1
백,건,1
백,겁,1
백,견,2
백,결,4
백,경,2
백,계,8
백,곡,3
백,골,10
백,공,3
백,교,3
백,국,2
백,군,2
백,굴,1
백,귀,4
백,규,3
백,그,1
백,근,1
백,급,2
백,기,1
백,낙,4
백,날,7
백,납,1
백,내,3
백,념,1
백,농,1
백,단,5
백,담,2
백,답,1
백,대,4
백,덕,2
백,도,3
백,독,2
백,돌,2
백,동,8
백,둥,1
백,등,3
백,라,2
백,락,1
백,란,1
백,람,1
백,랍,6
백,량,5
백,러,1
백,려,2
백,련,10
백,렴,1
백,령,8
백,리,12
백,록,5
백,론,1
백,뢰,4
백,룡,3
백,류,1
백,률,2
백,릉,3
백,림,4
백,립,3
백,막,2
백,말,1
백,망,1
백,매,1
백,모,11
백,목,4
백,묘,4
백,무,10
백,묵,2
백,문,5
백,물,2
백,민,1
백,밀,1
백,박,1
백,발,20
백,방,9
백,홍,4
백,범,1
백,벽,3
백,변,4
백,병,5
백,보,6
백,복,7
백,봉,2
백,부,9
백,불,5
백,붕,1
백,빈,2
백,빙,1
백,살,2
백,삼,10
백,삽,2
백,섭,1
백,손,1
백,송,2
백,순,1
백,승,6
백,시,4
백,실,2
백,심,2
백,씨,4
백,아,3
백,악,9
백,안,5
백,암,3
백,앙,1
백,액,3
백,야,2
백,약,4
백,양,10
백,어,4
백,억,4
백,업,4
백,역,1
백,연,4
백,열,20
백,염,1
백,엽,7
백,옥,21
백,완,1
백,왕,1
백,우,7
백,웅,1
백,원,1
백,월,4
백,위,1
백,육,4
백,은,1
백,응,1
백,인,4
백,자,33
백,재,3
백,잴,1
백,저,2
백,적,1
백,전,14
백,패,3
백,절,6
백,점,2
백,접,2
백,족,2
백,좌,3
백,주,13
백,죽,1
백,줴,1
백,쥐,1
백,직,2
백,집,2
백,징,2
백,차,2
백,창,1
백,채,1
백,척,2
백,천,4
백,첩,3
백,청,1
백,체,3
백,총,2
백,축,1
백,층,1
백,치,6
백,카,1
백,코,1
백,탁,2
백,탄,1
백,탈,2
백,탑,1
백,탕,1
백,태,4
백,택,3
백,통,8
백,퇴,2
백,투,1
백,파,2
백,팔,6
백,편,1
백,폐,5
백,포,3
백,표,1
백,학,4
백,한,2
백,해,7
백,핸,1
백,행,2
백,혁,1
백,협,1
백,형,1
백,혜,1
백,홋,1
백,회,1
백,후,1
백,훼,1
백,흑,2
백,여,1
백,술,1
백,예,1
백,칠,1
백,랑,1
백,검,2
백,풍,2
백,증,3
백,륙,1
백,남,1
백,생,1
백,홀,1
백,확,1
백,겸,1
본,적,14
본,<EOS>,899
본,복,3
본,위,66
본,권,8
본,주,45
본,대,4
본,재,3
본,벌,4
본,부,31
본,당,3
본,화,4
본,법,6
본,사,12
본,산,10
본,변,3
본,웅,1
본,능,17
본,영,6
본,시,3
본,그,3
본,형,6
본,갱,2
본,건,4
본,격,8
본,계,3
본,고,2
본,군,2
본,굴,1
본,기,5
본,나,2
본,답,2
본,레,1
본,로,1
본,먹,1
본,미,2
본,바,3
본,선,11
본,성,3
본,센,1
본,수,3
본,실,3
본,연,5
본,오,1
본,운,1
본,자,1
본,전,7
본,제,5
본,좌,1
본,지,9
본,직,2
본,짜,1
본,출,1
본,침,1
본,테,2
본,투,1
본,평,1
본,하,4
본,항,1
본,말,7
본,풀,8
본,원,14
본,가,16
본,존,4
본,드,4
본,새,3
본,때,2
본,딴,3
본,문,6
본,색,4
본,관,3
본,리,3
본,반,2
본,환,1
본,각,1
본,간,1
본,거,3
본,견,1
본,경,1
본,곁,1
본,곳,1
본,과,3
본,교,2
본,구,2
본,국,7
본,궁,1
본,근,1
본,금,2
본,급,1
본,네,2
본,넬,1
본,년,1
본,념,1
본,댁,2
본,데,2
본,도,4
본,동,3
본,디,2
본,딧,1
본,따,2
본,떡,1
본,뜨,2
본,뜬,1
본,란,1
본,래,10
본,련,1
본,령,1
본,론,1
본,루,2
본,류,1
본,망,1
본,맥,1
본,메,1
본,명,4
본,모,1
본,목,1
본,무,2
본,물,1
본,방,2
본,밭,1
본,범,1
본,병,1
본,보,6
본,봉,2
본,분,1
본,불,3
본,비,2
본,살,1
본,상,1
본,생,8
본,서,1
본,설,3
본,세,1
본,소,1
본,숭,2
본,쉬,1
본,습,1
본,식,2
본,신,3
본,심,1
본,악,2
본,안,4
본,액,1
본,양,1
본,언,1
본,업,2
본,염,1
본,엽,1
본,월,1
본,윌,1
본,유,4
본,율,1
본,음,5
본,의,5
본,이,1
본,인,3
본,일,1
본,작,2
본,장,1
본,점,1
본,정,2
본,젤,1
본,조,2
본,족,1
본,종,3
본,죄,1
본,증,1
본,진,2
본,질,12
본,짱,1
본,처,4
본,척,2
본,첨,1
본,청,2
본,체,9
본,초,10
본,촌,1
본,칙,1
본,친,1
본,태,3
본,택,1
본,템,1
본,토,8
본,판,1
본,포,1
본,품,1
본,피,2
본,학,1
본,행,3
본,향,3
본,회,3
본,력,2
본,챠,1
본,중,1
본,단,1
본,취,4
본,혁,1
본,아,1
본,충,1
적,<EOS>,4823
적,간,13
적,살,2
적,국,9
적,대,58
적,혈,23
적,채,5
적,자,22
적,어,29
적,검,4
적,뜻,5
적,물,22
적,금,9
적,립,25
적,가,11
적,문,7
적,인,15
적,서,5
적,생,9
적,다,41
적,이,16
적,아,6
적,눈,1
적,률,4
적,거,32
적,재,38
적,꽃,2
적,삼,13
적,지,61
적,실,10
적,전,10
적,강,6
적,공,9
적,비,14
적,방,4
적,분,47
적,원,7
적,계,7
적,료,4
적,용,9
적,연,11
적,유,11
적,층,13
적,로,14
적,품,4
적,정,106
적,화,29
적,적,24
적,기,25
적,폰,2
적,장,9
적,건,2
적,성,26
적,길,3
적,여,6
적,도,60
적,중,10
적,응,31
적,질,16
적,사,18
적,구,23
적,하,91
적,법,10
적,부,16
적,돌,3
적,력,4
적,태,1
적,소,15
적,후,3
적,십,18
적,제,7
적,굼,1
적,굽,1
적,상,11
적,운,9
적,책,3
적,긔,1
적,외,56
적,근,5
적,토,9
적,증,4
적,긁,1
적,회,9
적,선,18
적,에,2
적,효,1
적,준,1
적,진,6
적,의,14
적,산,21
적,꺼,1
적,껌,3
적,껍,3
적,께,1
적,꾸,5
적,꿈,1
적,꿉,1
적,끄,1
적,끈,1
적,우,11
적,끔,1
적,끼,1
적,교,3
적,련,5
적,힘,2
적,너,2
적,넌,2
적,글,1
적,넓,2
적,노,4
적,바,6
적,배,6
적,스,11
적,감,4
적,고,7
적,날,1
적,넙,4
적,떡,1
적,발,9
적,집,6
적,추,2
적,코,1
적,색,55
적,출,12
적,느,2
적,는,1
적,묵,3
적,경,8
적,관,6
적,주,5
적,격,12
적,량,4
적,멸,11
적,셈,1
적,합,16
적,광,5
적,복,4
적,당,9
적,통,5
적,더,1
적,덕,9
적,덥,1
적,괭,2
적,나,4
적,담,5
적,벌,4
적,빨,1
적,일,5
적,쥐,1
적,촌,1
적,반,6
적,리,4
적,변,4
적,짐,1
적,독,3
적,뒤,1
적,드,2
적,순,4
적,흘,1
적,떠,1
적,뚜,2
적,뚱,2
적,뜨,2
적,궁,4
적,뜯,1
적,되,4
적,규,1
적,예,2
적,형,15
적,깊,1
적,높,1
적,해,3
적,작,4
적,위,11
적,섬,2
적,마,5
적,악,6
적,억,1
적,오,3
적,양,3
적,심,17
적,수,33
적,곡,3
적,머,1
적,류,2
적,식,3
적,견,5
적,씨,3
적,죄,5
적,론,6
적,동,10
적,풍,2
적,요,5
적,뭉,3
적,미,7
적,불,5
적,밍,2
적,놈,1
적,꼰,1
적,업,2
적,버,3
적,벅,3
적,번,1
적,단,10
적,임,4
적,절,11
적,북,6
적,갈,4
적,은,10
적,뻐,2
적,뻔,1
적,뿌,2
적,삐,1
적,시,26
적,록,6
적,조,7
적,속,2
적,필,2
적,민,3
적,축,5
적,협,1
적,빈,7
적,무,4
적,표,1
적,결,3
적,삽,1
적,암,1
적,모,6
적,쓰,1
적,졸,2
적,박,2
적,얽,1
적,학,3
적,엉,1
적,과,7
적,골,1
적,욱,1
적,환,5
적,움,2
적,워,1
적,승,4
적,종,7
적,으,2
적,막,9
적,밀,2
적,송,8
적,저,5
적,각,5
적,개,4
적,객,1
적,괘,1
적,괴,1
적,군,4
적,굴,1
적,권,1
적,귀,3
적,균,2
적,극,36
적,난,2
적,남,1
적,녀,1
적,년,6
적,념,1
적,니,1
적,돈,1
적,두,4
적,득,2
적,락,2
적,란,2
적,람,1
적,랭,2
적,려,3
적,렴,1
적,령,6
적,례,1
적,뢰,2
적,룡,3
적,루,4
적,륜,2
적,린,1
적,림,1
적,면,3
적,명,1
적,목,3
적,몰,3
적,묘,1
적,백,2
적,벽,7
적,병,1
적,보,1
적,봉,4
적,빙,1
적,삭,1
적,새,2
적,석,7
적,설,6
적,세,4
적,손,3
적,쇠,1
적,쇳,1
적,습,3
적,신,3
적,쌍,1
적,안,3
적,앙,2
적,애,1
적,약,1
적,역,2
적,열,5
적,염,1
적,엽,2
적,영,1
적,옥,2
적,온,1
적,울,2
적,웅,1
적,월,1
적,음,3
적,입,3
적,잖,2
적,처,2
적,점,2
적,족,3
적,직,1
적,찰,1
적,창,2
적,천,2
적,철,1
적,첩,3
적,체,3
적,초,2
적,충,1
적,취,4
적,측,2
적,치,5
적,침,1
적,탁,1
적,탄,2
적,탈,1
적,톳,1
적,투,3
적,파,2
적,판,1
적,패,3
적,평,1
적,폐,1
적,피,5
적,한,1
적,할,1
적,함,1
적,항,1
적,핵,1
적,호,2
적,홍,1
적,확,3
적,황,2
적,획,1
적,훈,2
적,훼,2
적,휘,2
적,흉,1
적,흑,1
적,늘,1
적,현,1
적,윤,1
적,혁,1
적,잎,1
적,프,1
적,쿵,9
적,트,2
적,티,1
적,맑,1
적,차,1
적,히,1
적,허,5
적,헤,3
적,훔,1
적,흐,1
적,흔,1
부,자,69
부,편,2
부,<EOS>,3077
부,득,74
부,기,79
부,로,14
부,쟁,13
부,리,262
부,췌,2
부,피,44
부,내,6
부,대,157
부,번,3
부,사,124
부,장,64
부,재,50
부,좌,10
부,지,168
부,진,35
부,취,3
부,키,5
부,토,4
부,식,48
부,인,93
부,담,49
부,살,8
부,렁,79
부,커,1
부,타,18
부,시,71
부,임,9
부,전,99
부,공,4
부,원,9
부,표,34
부,학,15
부,혁,3
부,후,5
부,문,39
부,가,52
부,수,60
부,다,22
부,티,16
부,호,99
부,복,8
부,병,7
부,패,23
부,두,44
부,치,28
부,국,6
부,민,11
부,절,37
부,동,121
부,심,13
부,처,33
부,싯,8
부,의,13
부,화,47
부,업,16
부,책,3
부,채,114
부,형,19
부,여,31
부,제,28
부,데,4
부,레,40
부,선,42
부,유,50
부,역,13
부,종,24
부,녀,17
부,정,192
부,러,44
부,새,6
부,저,6
부,속,42
부,이,20
부,풀,14
부,입,1
부,닥,7
부,회,6
부,부,36
부,분,85
부,하,58
부,족,69
부,관,15
부,허,10
부,박,4
부,설,17
부,축,8
부,모,69
부,잔,2
부,르,174
부,조,34
부,꺼,5
부,도,35
부,증,6
부,라,39
부,랑,102
부,래,9
부,량,5
부,렝,6
부,스,62
부,슴,14
부,탕,4
부,루,24
부,등,66
부,서,21
부,림,39
부,양,19
부,귀,21
부,군,11
부,놀,1
부,상,27
부,락,38
부,실,19
부,적,45
부,잡,5
부,환,2
부,곡,8
부,바,7
부,반,4
부,통,4
부,흥,24
부,름,35
부,일,11
부,교,8
부,중,10
부,위,31
부,어,15
부,생,19
부,력,7
부,각,9
부,당,60
부,단,16
부,깃,2
부,프,4
부,질,17
부,꾸,6
부,뒹,1
부,들,37
부,듸,1
부,덩,1
부,갱,2
부,끼,3
부,랭,5
부,룩,48
부,작,24
부,죽,12
부,벽,11
부,핀,1
부,끄,17
부,럽,4
부,주,16
부,금,10
부,젱,1
부,둑,9
부,딪,23
부,쓸,1
부,에,5
부,예,8
부,쪼,1
부,추,17
부,카,5
부,탄,11
부,법,1
부,침,32
부,산,25
부,염,27
부,닐,2
부,톡,3
부,망,3
부,경,10
부,권,8
부,럭,74
부,신,16
부,길,1
부,마,8
부,나,4
부,텨,3
부,승,11
부,갈,1
부,골,5
부,껍,1
부,디,7
부,링,1
부,물,2
부,볶,1
부,오,2
부,품,6
부,아,19
부,드,33
부,셔,1
부,틸,14
부,따,2
부,뚜,8
부,엉,20
부,악,2
부,터,8
부,류,5
부,슈,2
부,츠,6
부,포,7
부,팅,4
부,촉,10
부,룡,2
부,활,23
부,둥,15
부,엌,36
부,목,2
부,용,17
부,출,4
부,린,2
부,존,5
부,무,3
부,답,11
부,료,6
부,렴,4
부,봉,2
부,착,18
부,차,11
부,개,5
부,른,4
부,근,14
부,체,7
부,급,5
부,세,6
부,점,6
부,간,2
부,감,9
부,갑,7
부,강,6
부,객,1
부,갸,1
부,거,7
부,걱,9
부,건,2
부,걸,1
부,검,5
부,게,3
부,겐,1
부,견,3
부,결,3
부,계,14
부,고,9
부,과,7
부,곽,1
부,광,4
부,괴,3
부,구,7
부,궐,2
부,그,7
부,극,2
부,글,9
부,꾹,2
부,꿍,1
부,끈,1
부,끌,1
부,남,3
부,납,2
부,낭,1
부,넘,1
부,네,3
부,농,2
부,눈,1
부,뉴,1
부,는,1
부,니,5
부,닌,1
부,달,3
부,덕,6
부,던,1
부,뎐,1
부,둔,1
부,둣,2
부,듯,3
부,때,1
부,떠,1
부,떡,1
부,떰,1
부,뚱,1
부,뜨,1
부,뜩,1
부,뜽,1
부,란,6
부,랴,8
부,략,1
부,럼,2
부,려,4
부,련,4
부,령,4
부,록,3
부,론,2
부,롱,2
부,룬,2
부,룻,4
부,룽,2
부,뤁,1
부,륵,1
부,릅,2
부,릇,2
부,릉,7
부,릍,1
부,릿,3
부,막,2
부,말,1
부,맥,1
부,메,3
부,면,1
부,명,1
부,묘,2
부,미,5
부,방,5
부,배,3
부,버,1
부,벌,1
부,범,2
부,변,1
부,별,2
부,보,3
부,본,1
부,불,5
부,븨,3
부,비,17
부,빈,8
부,빔,3
부,빗,2
부,빙,2
부,삭,1
부,삼,1
부,삽,3
부,샄,1
부,석,25
부,섬,2
부,섭,4
부,성,8
부,섴,1
부,셕,1
부,셰,1
부,셸,1
부,소,6
부,송,2
부,쇠,1
부,쇳,2
부,숙,6
부,순,3
부,술,3
부,숫,1
부,숭,7
부,숰,1
부,숴,2
부,쉐,1
부,슬,13
